Time,Precipitation(mm/day)
1998-01-01,0
1998-02-01,0.0500000007450581
1998-03-01,0.46000000834465
1998-04-01,2.23000001907349
1998-05-01,7.84999990463257
1998-06-01,9.22999954223633
1998-07-01,9.53999996185303
1998-08-01,9.11999988555908
1998-09-01,6.32000017166138
1998-10-01,5.71000003814697
1998-11-01,11.1899995803833
1998-12-01,10.2600002288818
1999-01-01,2.40000009536743
1999-02-01,1.47000002861023
1999-03-01,1.02999997138977
1999-04-01,4.11999988555908
1999-05-01,6.1399998664856
1999-06-01,12.5299997329712
1999-07-01,8.03999996185303
1999-08-01,5.94999980926514
1999-09-01,4.65000009536743
1999-10-01,8.36999988555908
1999-11-01,8.31999969482422
1999-12-01,14.1300001144409
2000-01-01,0.529999971389771
2000-02-01,0.949999988079071
2000-03-01,0.560000002384186
2000-04-01,1.75999999046326
2000-05-01,4.92000007629395
2000-06-01,9.35000038146973
2000-07-01,4.46999979019165
2000-08-01,10.3000001907349
2000-09-01,11
2000-10-01,9.80000019073486
2000-11-01,7.21000003814697
2000-12-01,4.69999980926514
2001-01-01,1.3400000333786
2001-02-01,0.340000003576279
2001-03-01,2.90000009536743
2001-04-01,1.88999998569489
2001-05-01,9.68000030517578
2001-06-01,6.75
2001-07-01,7.73999977111816
2001-08-01,5.98000001907349
2001-09-01,9.85000038146973
2001-10-01,10.1000003814697
2001-11-01,7.19999980926514
2001-12-01,7.23000001907349
2002-01-01,3.49000000953674
2002-02-01,0.560000002384186
2002-03-01,1.01999998092651
2002-04-01,6.51999998092651
2002-05-01,7.73999977111816
2002-06-01,8.18000030517578
2002-07-01,6.23999977111816
2002-08-01,7.55000019073486
2002-09-01,10.1400003433228
2002-10-01,7.34000015258789
2002-11-01,7.34000015258789
2002-12-01,2.75999999046326
2003-01-01,0.270000010728836
2003-02-01,1.42999994754791
2003-03-01,1.24000000953674
2003-04-01,8.72999954223633
2003-05-01,8.4399995803833
2003-06-01,7.21000003814697
2003-07-01,6.98999977111816
2003-08-01,7.28000020980835
2003-09-01,9.40999984741211
2003-10-01,10.539999961853
2003-11-01,5.21000003814697
2003-12-01,5.61999988555908
2004-01-01,0.449999988079071
2004-02-01,0.550000011920929
2004-03-01,1.85000002384186
2004-04-01,14.8000001907349
2004-05-01,12.9799995422363
2004-06-01,11.3999996185303
2004-07-01,7.94000005722046
2004-08-01,8.8100004196167
2004-09-01,11.9700002670288
2004-10-01,8.81999969482422
2004-11-01,7.3600001335144
2004-12-01,7.32999992370605
2005-01-01,3.55999994277954
2005-02-01,0.419999986886978
2005-03-01,4.09999990463257
2005-04-01,5.46000003814697
2005-05-01,11.1999998092651
2005-06-01,11
2005-07-01,11.2600002288818
2005-08-01,11.9499998092651
2005-09-01,10.3199996948242
2005-10-01,9.31999969482422
2005-11-01,8.10999965667725
2005-12-01,4.73999977111816
2006-01-01,3.01999998092651
2006-02-01,4.09000015258789
2006-03-01,6.09000015258789
2006-04-01,6.32000017166138
2006-05-01,14.4200000762939
2006-06-01,10.6300001144409
2006-07-01,8.73999977111816
2006-08-01,7.34999990463257
2006-09-01,9.3100004196167
2006-10-01,12.5500001907349
2006-11-01,10.1400003433228
2006-12-01,7.38000011444092
2007-01-01,1.04999995231628
2007-02-01,0.569999992847443
2007-03-01,1.13999998569489
2007-04-01,9.55000019073486
2007-05-01,14.8500003814697
2007-06-01,7.92999982833862
2007-07-01,6.03000020980835
2007-08-01,15.0500001907349
2007-09-01,10.1499996185303
2007-10-01,9.46000003814697
2007-11-01,13.1999998092651
2007-12-01,5.73000001907349
2008-01-01,2.21000003814697
2008-02-01,4.48000001907349
2008-03-01,3.85999989509583
2008-04-01,4.09999990463257
2008-05-01,14.3199996948242
2008-06-01,7.38000011444092
2008-07-01,10.8400001525879
2008-08-01,5.69999980926514
2008-09-01,9.89000034332275
2008-10-01,11.6800003051758
2008-11-01,9.89999961853027
2008-12-01,3.05999994277954
2009-01-01,2.60999989509583
2009-02-01,3.36999988555908
2009-03-01,1.62000000476837
2009-04-01,2.41000008583069
2009-05-01,11.3500003814697
2009-06-01,12.25
2009-07-01,8.88000011444092
2009-08-01,5.92000007629395
2009-09-01,7.80999994277954
2009-10-01,10.3400001525879
2009-11-01,13.289999961853
2009-12-01,1.29999995231628
2010-01-01,0.0299999993294477
2010-02-01,0.360000014305115
2010-03-01,2.05999994277954
2010-04-01,4.55999994277954
2010-05-01,7.03999996185303
2010-06-01,9.35000038146973
2010-07-01,9.80000019073486
2010-08-01,12.7200002670288
2010-09-01,10.5200004577637
2010-10-01,13.8699998855591
2010-11-01,14.2200002670288
2010-12-01,16.7099990844727
2011-01-01,3.0699999332428
2011-02-01,1.83000004291534
2011-03-01,3.6800000667572
2011-04-01,10.4099998474121
2011-05-01,8.27999973297119
2011-06-01,6
2011-07-01,9.89000034332275
2011-08-01,7.8899998664856
2011-09-01,4.84000015258789
2011-10-01,8.78999996185303
2011-11-01,6.94000005722046
2011-12-01,6.65000009536743
2012-01-01,1.80999994277954
2012-02-01,0.409999996423721
2012-03-01,1.48000001907349
2012-04-01,9.07999992370605
2012-05-01,9.51000022888184
2012-06-01,7.82999992370605
2012-07-01,9.80000019073486
2012-08-01,6.3600001335144
2012-09-01,6.05000019073486
2012-10-01,11.6899995803833
2012-11-01,5.84999990463257
2012-12-01,2.97000002861023
2013-01-01,0
2013-02-01,2
2013-03-01,3.24000000953674
2013-04-01,9.81999969482422
2013-05-01,4.01000022888184
2013-06-01,9.13000011444092
2013-07-01,7.05999994277954
2013-08-01,9.60000038146973
2013-09-01,6.73999977111816
2013-10-01,5.8899998664856
2013-11-01,9.48999977111816
2013-12-01,5.46999979019165
2014-01-01,2.3199999332428
2014-02-01,0
2014-03-01,0
2014-04-01,1.16999995708466
2014-05-01,15.0100002288818
2014-06-01,10.4399995803833
2014-07-01,4.71000003814697
2014-08-01,5.46999979019165
2014-09-01,10.3599996566772
2014-10-01,7.32000017166138
2014-11-01,6
2014-12-01,3.70000004768372
2015-01-01,0.46000000834465
2015-02-01,0
2015-03-01,0
2015-04-01,2.91000008583069
2015-05-01,4.96999979019165
2015-06-01,5.5
2015-07-01,3.00999999046326
2015-08-01,8.02000045776367
2015-09-01,11.6400003433228
2015-10-01,8.64999961853027
2015-11-01,8.85000038146973
2015-12-01,4.34000015258789
